disease_id	lncRNA_id
1192	14986 15031 15031 15031
1193	15530 15911 15911 16701 16701 17244 17700 17728 17728
1194	15582 15582 15582 15582 15582 15582 15938 16104 16104 16104 16104 16104 16104 16104 16104 16104 16104 16104
1195	15128 15152 15152 15152 15152
1196	19173
1197	14211 14212 14215 14920 14939 14939 14946 14963 14977 14994 15003 15007 15011 15031 15031 15173 15530 15530 15550 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15586 15605 15911 15911 15911 15911 16117 16164 16172 16173 16256 16316 16509 16516 16557 16557 16577 16581 16652 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16719 16724 16724 16724 16724 16724 16724 16753 16847 16850 16853 16856 17135 17151 17151 17155 17244 17300 17301 17364 17505 17569 17569 17594 17594 17616 17681 17698 17726 17728 17728 17728 17728 17728 17728 17728 17728 17728 17728 17728 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19207 19848 19850
1198	14901 14994 15488 15499 15499 15530 15582 15582 15582 15910 15910 15911 15929 16172 16566 16701 16896 17151 17576 17728 19173 19174 19207 19851 19851
1199	15530
1200	14212 14991 15080 15530 15911 15911 16701 16701 16701 16724 17244 17728 17728
1201	14944 17186
1202	15127
1203	17238
1204	15127
1205	15173 17155 17702 17702 17702
1206	14960
1207	15582
1208	14168 14287 14500 14500 14500 14545 14545 14643 14687 14753 14886 14901 14924 14924 14924 14924 14924 14924 14924 14929 14929 14929 14929 14940 14989 14990 14997 15001 15003 15003 15003 15003 15003 15003 15003 15003 15010 15025 15027 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15051 15079 15080 15080 15097 15121 15127 15150 15154 15171 15173 15174 15174 15174 15185 15190 15338 15373 15379 15485 15497 15498 15530 15530 15530 15530 15530 15530 15530 15530 15530 15530 15530 15530 15530 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15603 15605 15605 15908 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15913 15913 15916 15916 15918 15918 15943 16086 16090 16092 16097 16101 16104 16104 16111 16116 16121 16143 16147 16170 16183 16183 16183 16187 16189 16201 16201 16210 16213 16243 16263 16268 16274 16284 16305 16326 16363 16397 16399 16439 16445 16446 16447 16448 16464 16464 16464 16464 16464 16464 16465 16465 16527 16562 16564 16567 16571 16592 16651 16651 16651 16673 16674 16675 16676 16677 16678 16679 16680 16681 16682 16683 16700 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16706 16724 16724 16724 16724 16724 16724 16724 16729 16736 16748 16775 16783 16794 16815 16827 16833 16833 16833 16833 16833 16833 16840 16843 16851 16864 16869 16896 17104 17135 17143 17146 17147 17148 17149 17150 17167 17185 17188 17208 17214 17237 17237 17237 17241 17244 17244 17244 17244 17244 17256 17269 17313 17336 17344 17346 17362 17365 17377 17393 17402 17417 17440 17442 17452 17453 17454 17463 17549 17561 17561 17568 17569 17569 17578 17587 17587 17587 17587 17587 17594 17597 17597 17597 17597 17597 17597 17597 17597 17597 17597 17597 17597 17603 17613 17699 17700 17702 17728 17728 17728 17729 17734 17756 17804 17834 19069 19170 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19173 19206 19207 19207 19207 19207 19207 19207 19207 19207 19281 19833 19833 19840 19851 19851 19851 19872
1209	15605
1210	19151
1211	16740 16833 17244 17700
1212	16701 17728
1213	14166 14228 14525 14649 14649 14649 14929 14939 14943 14989 15001 15001 15003 15003 15003 15013 15031 15031 15031 15031 15031 15031 15031 15031 15031 15031 15038 15121 15121 15176 15372 15447 15530 15530 15530 15530 15530 15575 15576 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15582 15907 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15911 15913 15916 15929 15929 15929 15929 16094 16114 16150 16193 16237 16272 16460 16636 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16701 16724 16724 16724 16724 16736 16745 16786 16786 16817 16817 16833 16901 16901 17135 17137 17151 17151 17164 17237 17237 17237 17244 17244 17244 17244 17244 17244 17320 17383 17480 17585 17587 17594 17594 17622 17626 17627 17628 17701 17728 17728 17728 19173 19173 19173 19173 19205 19205 19207 19207 19207 19207 19207 19851 19851
1214	14999
1215	19851
1216	15582
1217	15007 15055 15060 16699 17244 17270 17270 17536
1218	15522
1219	15582
1220	17597
1221	15031
1222	15031 15031 15031 15031 15031 15604 16900
1223	15031
1224	17268 17290
1225	15586 15586 16751
1226	16479
1227	15582 15590 17587
1228	15911 16724
