head entity id	Relation_id	tail entity id
14236	4	1182
1182	4	14238
14238	4	1182
1182	4	14239
14239	4	1182
1182	4	14240
14240	4	1182
1182	4	14241
14241	4	1182
1182	4	14243
14243	4	1182
1182	4	14244
14244	4	1182
1182	4	14245
14245	4	1182
1182	4	14247
14247	4	1182
1182	4	14248
14248	4	1182
1182	4	14249
14249	4	1182
1182	4	14249
14249	4	1182
1182	4	14250
14250	4	1182
1182	4	14251
14251	4	1182
1182	4	14252
14252	4	1182
1182	4	14253
14253	4	1182
1182	4	14254
14254	4	1182
1182	4	14256
14256	4	1182
1182	4	14259
14259	4	1182
1182	4	14260
14260	4	1182
1182	4	14261
14261	4	1182
1182	4	14262
14262	4	1182
1182	4	14263
14263	4	1182
1182	4	14264
14264	4	1182
1182	4	14266
14266	4	1182
1182	4	14267
14267	4	1182
1182	4	14269
14269	4	1182
1182	4	14270
14270	4	1182
1182	4	14271
14271	4	1182
1182	4	14271
14271	4	1182
1182	4	14273
14273	4	1182
1182	4	14274
14274	4	1182
1182	4	14275
14275	4	1182
1182	4	14276
14276	4	1182
1182	4	14277
14277	4	1182
1182	4	14278
14278	4	1182
1182	4	14281
14281	4	1182
1182	4	14282
14282	4	1182
1182	4	14283
14283	4	1182
1182	4	14285
14285	4	1182
1182	4	14286
14286	4	1182
1182	4	14288
14288	4	1182
1182	4	14290
14290	4	1182
1182	4	14291
14291	4	1182
1182	4	14292
14292	4	1182
1182	4	14293
14293	4	1182
1182	4	14294
14294	4	1182
1182	4	14296
14296	4	1182
1182	4	14297
14297	4	1182
1182	4	14299
14299	4	1182
1182	4	14300
14300	4	1182
1182	4	14301
14301	4	1182
1182	4	14302
14302	4	1182
1182	4	14303
14303	4	1182
1182	4	14304
14304	4	1182
1182	4	14305
14305	4	1182
1182	4	14306
14306	4	1182
1182	4	14307
14307	4	1182
1182	4	14308
14308	4	1182
1182	4	14309
14309	4	1182
1182	4	14310
14310	4	1182
1182	4	14311
14311	4	1182
1182	4	14313
14313	4	1182
1182	4	14313
14313	4	1182
1182	4	14314
14314	4	1182
1182	4	14315
14315	4	1182
1182	4	14316
14316	4	1182
1182	4	14317
14317	4	1182
