head entity id,Relation_id,tail entity id
451,1,1625
1625,1,451
451,1,1626
1626,1,451
453,1,1860
1860,1,453
454,1,1819
1819,1,454
456,1,1664
1664,1,456
457,1,1721
1721,1,457
457,1,2050
2050,1,457
459,1,1783
1783,1,459
461,1,1837
1837,1,461
462,1,2005
2005,1,462
463,1,1872
1872,1,463
463,1,1908
1908,1,463
464,1,2043
2043,1,464
466,1,1868
1868,1,466
470,1,1670
1670,1,470
473,1,1839
1839,1,473
475,1,1920
1920,1,475
476,1,2015
2015,1,476
480,1,1734
1734,1,480
481,1,1773
1773,1,481
482,1,2000
2000,1,482
483,1,1754
1754,1,483
484,1,1969
1969,1,484
485,1,1875
1875,1,485
487,1,1811
1811,1,487
490,1,1668
1668,1,490
490,1,1834
1834,1,490
490,1,1840
1840,1,490
490,1,1903
1903,1,490
490,1,1995
1995,1,490
491,1,1860
1860,1,491
491,1,1869
1869,1,491
494,1,1977
1977,1,494
494,1,1990
1990,1,494
496,1,1719
1719,1,496
497,1,1833
1833,1,497
498,1,1883
1883,1,498
499,1,1716
1716,1,499
500,1,1629
1629,1,500
501,1,1795
1795,1,501
501,1,2006
2006,1,501
503,1,1610
1610,1,503
505,1,2022
2022,1,505
510,1,1719
1719,1,510
511,1,1828
1828,1,511
513,1,1690
1690,1,513
513,1,2025
2025,1,513
513,1,2034
2034,1,513
514,1,1713
1713,1,514
514,1,1944
1944,1,514
515,1,1749
1749,1,515
515,1,1770
1770,1,515
516,1,1707
1707,1,516
519,1,1868
1868,1,519
523,1,2004
2004,1,523
525,1,1958
1958,1,525
527,1,1819
1819,1,527
531,1,1735
1735,1,531
531,1,2061
2061,1,531
533,1,1775
1775,1,533
533,1,1820
1820,1,533
536,1,1753
1753,1,536
537,1,1806
1806,1,537
541,1,1727
1727,1,541
541,1,1971
1971,1,541
541,1,1978
1978,1,541
545,1,1767
1767,1,545
545,1,1931
1931,1,545
550,1,1625
1625,1,550
553,1,1713
1713,1,553
555,1,1825
1825,1,555
556,1,1627
1627,1,556
559,1,1912
1912,1,559
563,1,1755
1755,1,563
564,1,2054
2054,1,564
568,1,1841
1841,1,568
568,1,2016
2016,1,568
569,1,1646
1646,1,569
571,1,1860
1860,1,571
572,1,1968
1968,1,572
573,1,1835
1835,1,573
574,1,1626
1626,1,574
576,1,1673
1673,1,576
578,1,1643
1643,1,578
578,1,1676
1676,1,578
578,1,1999
1999,1,578
579,1,1846
1846,1,579
580,1,1627
1627,1,580
588,1,1722
1722,1,588
597,1,1631
1631,1,597
598,1,1674
1674,1,598
602,1,1614
1614,1,602
602,1,1870
1870,1,602
604,1,1864
1864,1,604
606,1,1723
1723,1,606
607,1,1807
1807,1,607
609,1,2028
2028,1,609
611,1,2037
2037,1,611
613,1,1830
1830,1,613
615,1,1956
1956,1,615
616,1,1918
1918,1,616
618,1,1616
1616,1,618
621,1,1862
1862,1,621
623,1,1836
1836,1,623
624,1,1715
1715,1,624
624,1,1720
1720,1,624
625,1,1729
1729,1,625
627,1,1927
1927,1,627
627,1,1987
1987,1,627
627,1,1996
1996,1,627
627,1,2003
2003,1,627
627,1,2039
2039,1,627
627,1,2058
2058,1,627
629,1,1948
1948,1,629
630,1,2038
2038,1,630
631,1,1620
1620,1,631
631,1,1878
1878,1,631
631,1,2021
2021,1,631
634,1,1943
1943,1,634
635,1,1725
1725,1,635
636,1,2056
2056,1,636
637,1,1858
1858,1,637
639,1,1968
1968,1,639
640,1,1764
1764,1,640
640,1,1881
1881,1,640
641,1,1672
1672,1,641
641,1,1693
1693,1,641
641,1,1869
1869,1,641
643,1,1860
1860,1,643
644,1,1763
1763,1,644
646,1,1970
1970,1,646
646,1,1980
1980,1,646
648,1,1693
1693,1,648
650,1,1651
1651,1,650
650,1,1664
1664,1,650
653,1,2035
2035,1,653
657,1,1873
1873,1,657
658,1,1983
1983,1,658
659,1,1704
1704,1,659
661,1,1778
1778,1,661
661,1,1836
1836,1,661
661,1,1891
1891,1,661
664,1,1850
1850,1,664
665,1,1964
1964,1,665
667,1,2022
2022,1,667
668,1,1613
1613,1,668
668,1,1622
1622,1,668
668,1,1782
1782,1,668
669,1,1813
1813,1,669
670,1,1790
1790,1,670
670,1,1824
1824,1,670
672,1,1688
1688,1,672
673,1,1975
1975,1,673
673,1,1991
1991,1,673
673,1,2025
2025,1,673
674,1,1721
1721,1,674
677,1,1703
1703,1,677
677,1,1762
1762,1,677
678,1,1711
1711,1,678
678,1,1874
1874,1,678
678,1,1886
1886,1,678
679,1,1650
1650,1,679
679,1,2034
2034,1,679
680,1,1716
1716,1,680
681,1,1615
1615,1,681
683,1,1861
1861,1,683
684,1,1671
1671,1,684
685,1,1913
1913,1,685
686,1,1711
1711,1,686
690,1,1766
1766,1,690
691,1,1733
1733,1,691
691,1,1798
1798,1,691
691,1,1847
1847,1,691
691,1,1854
1854,1,691
691,1,1898
1898,1,691
696,1,1804
1804,1,696
698,1,1709
1709,1,698
698,1,1916
1916,1,698
699,1,1696
1696,1,699
701,1,2023
2023,1,701
702,1,2044
2044,1,702
703,1,1697
1697,1,703
710,1,2013
2013,1,710
711,1,1934
1934,1,711
716,1,1639
1639,1,716
716,1,1677
1677,1,716
717,1,1755
1755,1,717
718,1,1755
1755,1,718
719,1,1736
1736,1,719
720,1,1653
1653,1,720
720,1,1671
1671,1,720
722,1,1779
1779,1,722
722,1,1818
1818,1,722
723,1,1616
1616,1,723
726,1,1652
1652,1,726
726,1,1673
1673,1,726
728,1,1698
1698,1,728
730,1,1931
1931,1,730
735,1,2067
2067,1,735
737,1,1630
1630,1,737
741,1,1835
1835,1,741
744,1,1638
1638,1,744
745,1,1781
1781,1,745
748,1,1693
1693,1,748
749,1,1612
1612,1,749
749,1,1963
1963,1,749
752,1,1619
1619,1,752
752,1,1622
1622,1,752
756,1,1792
1792,1,756
758,1,1651
1651,1,758
759,1,1768
1768,1,759
759,1,1955
1955,1,759
762,1,1654
1654,1,762
762,1,1701
1701,1,762
762,1,1952
1952,1,762
762,1,2028
2028,1,762
762,1,2036
2036,1,762
763,1,1905
1905,1,763
764,1,1899
1899,1,764
767,1,1647
1647,1,767
769,1,2012
2012,1,769
770,1,1705
1705,1,770
771,1,1657
1657,1,771
775,1,1800
1800,1,775
777,1,2010
2010,1,777
778,1,1834
1834,1,778
780,1,1658
1658,1,780
781,1,1799
1799,1,781
785,1,1621
1621,1,785
787,1,1660
1660,1,787
788,1,1774
1774,1,788
790,1,2044
2044,1,790
792,1,1765
1765,1,792
793,1,2032
2032,1,793
795,1,1713
1713,1,795
796,1,1879
1879,1,796
799,1,2065
2065,1,799
801,1,1812
1812,1,801
802,1,1839
1839,1,802
803,1,1710
1710,1,803
804,1,1860
1860,1,804
805,1,1725
1725,1,805
806,1,1850
1850,1,806
808,1,1750
1750,1,808
809,1,1717
1717,1,809
813,1,1825
1825,1,813
814,1,2037
2037,1,814
815,1,1929
1929,1,815
817,1,1619
1619,1,817
828,1,1642
1642,1,828
829,1,1677
1677,1,829
829,1,1685
1685,1,829
829,1,1965
1965,1,829
829,1,1986
1986,1,829
830,1,1943
1943,1,830
831,1,2020
2020,1,831
833,1,1732
1732,1,833
836,1,1735
1735,1,836
838,1,1643
1643,1,838
838,1,1649
1649,1,838
839,1,2068
2068,1,839
840,1,1991
1991,1,840
841,1,1714
1714,1,841
842,1,1966
1966,1,842
843,1,1961
1961,1,843
844,1,1614
1614,1,844
844,1,1921
1921,1,844
844,1,1982
1982,1,844
846,1,1933
1933,1,846
847,1,1933
1933,1,847
848,1,1817
1817,1,848
849,1,1627
1627,1,849
850,1,1677
1677,1,850
851,1,1738
1738,1,851
851,1,1947
1947,1,851
852,1,1642
1642,1,852
855,1,1717
1717,1,855
856,1,1633
1633,1,856
858,1,1730
1730,1,858
860,1,1804
1804,1,860
862,1,1818
1818,1,862
864,1,1832
1832,1,864
867,1,1735
1735,1,867
867,1,1887
1887,1,867
870,1,1769
1769,1,870
871,1,1809
1809,1,871
873,1,2013
2013,1,873
877,1,1610
1610,1,877
881,1,1881
1881,1,881
891,1,1652
1652,1,891
892,1,2022
2022,1,892
898,1,1680
1680,1,898
899,1,1918
1918,1,899
900,1,1957
1957,1,900
900,1,1959
1959,1,900
905,1,1914
1914,1,905
907,1,1834
1834,1,907
908,1,1754
1754,1,908
912,1,1889
1889,1,912
914,1,1737
1737,1,914
915,1,1808
1808,1,915
915,1,1985
1985,1,915
915,1,1993
1993,1,915
917,1,1836
1836,1,917
918,1,1655
1655,1,918
918,1,2001
2001,1,918
919,1,1678
1678,1,919
920,1,1641
1641,1,920
921,1,1919
1919,1,921
928,1,2055
2055,1,928
929,1,1676
1676,1,929
929,1,1692
1692,1,929
930,1,1840
1840,1,930
931,1,1706
1706,1,931
932,1,1639
1639,1,932
934,1,1806
1806,1,934
935,1,2023
2023,1,935
936,1,1911
1911,1,936
938,1,1713
1713,1,938
939,1,1767
1767,1,939
940,1,1703
1703,1,940
941,1,1636
1636,1,941
946,1,1860
1860,1,946
949,1,1989
1989,1,949
959,1,2000
2000,1,959
960,1,1835
1835,1,960
961,1,1984
1984,1,961
967,1,1851
1851,1,967
973,1,1906
1906,1,973
973,1,2029
2029,1,973
976,1,1710
1710,1,976
976,1,1980
1980,1,976
977,1,2059
2059,1,977
981,1,1954
1954,1,981
986,1,1827
1827,1,986
990,1,1776
1776,1,990
990,1,1895
1895,1,990
990,1,1901
1901,1,990
990,1,1904
1904,1,990
994,1,1712
1712,1,994
996,1,1937
1937,1,996
996,1,1974
1974,1,996
996,1,1994
1994,1,996
996,1,2030
2030,1,996
996,1,2031
2031,1,996
998,1,1871
1871,1,998
998,1,1896
1896,1,998
998,1,1907
1907,1,998
998,1,2052
2052,1,998
998,1,2067
2067,1,998
1001,1,1618
1618,1,1001
1001,1,1909
1909,1,1001
1001,1,1951
1951,1,1001
1001,1,1953
1953,1,1001
1001,1,2053
2053,1,1001
1004,1,2034
2034,1,1004
1005,1,1713
1713,1,1005
1012,1,2062
2062,1,1012
1018,1,1700
1700,1,1018
1018,1,1923
1923,1,1018
1018,1,1927
1927,1,1018
1018,1,2023
2023,1,1018
1018,1,2042
2042,1,1018
1019,1,1731
1731,1,1019
1019,1,1797
1797,1,1019
1019,1,1805
1805,1,1019
1019,1,2049
2049,1,1019
1019,1,2063
2063,1,1019
1021,1,1675
1675,1,1021
1021,1,1694
1694,1,1021
1021,1,1780
1780,1,1021
1021,1,1942
1942,1,1021
1021,1,2058
2058,1,1021
1028,1,1693
1693,1,1028
1028,1,1848
1848,1,1028
1028,1,1892
1892,1,1028
1028,1,1930
1930,1,1028
1028,1,1981
1981,1,1028
1031,1,1729
1729,1,1031
1033,1,1713
1713,1,1033
1034,1,1713
1713,1,1034
1034,1,2047
2047,1,1034
1040,1,1950
1950,1,1040
1041,1,1943
1943,1,1041
1048,1,2034
2034,1,1048
1062,1,1667
1667,1,1062
1065,1,1882
1882,1,1065
1074,1,1665
1665,1,1074
1074,1,1754
1754,1,1074
1074,1,1785
1785,1,1074
1074,1,1917
1917,1,1074
1074,1,1928
1928,1,1074
1093,1,2034
2034,1,1093
1099,1,1712
1712,1,1099
